nurse_id,skill_level,day,shift,global_shift,max_load
n00,2,0,late,1,5
n00,2,1,night,5,15
n00,2,2,night,8,15
n00,2,3,night,11,15
n00,2,4,night,14,15
n00,2,5,night,17,15
n00,2,7,late,22,15
n00,2,8,night,26,15
n00,2,9,night,29,5
n00,2,11,early,33,15
n00,2,12,early,36,15
n00,2,13,night,41,15
n01,0,0,night,2,10
n01,0,2,early,6,10
n01,0,3,late,10,10
n01,0,4,night,14,10
n01,0,5,night,17,10
n01,0,6,night,20,10
n01,0,7,night,23,10
n01,0,8,night,26,10
n01,0,10,late,31,10
n01,0,11,late,34,10
n01,0,13,early,39,10
n02,2,0,night,2,5
n02,2,2,early,6,15
n02,2,3,early,9,15
n02,2,4,early,12,15
n02,2,5,early,15,5
n02,2,6,early,18,15
n02,2,7,night,23,5
n02,2,8,night,26,15
n02,2,9,night,29,5
n02,2,10,night,32,15
n02,2,11,night,35,15
n02,2,13,late,40,15
n03,0,0,late,1,10
n03,0,1,night,5,10
n03,0,2,night,8,10
n03,0,3,night,11,10
n03,0,4,night,14,10
n03,0,6,early,18,10
n03,0,7,early,21,10
n03,0,8,early,24,10
n03,0,9,early,27,10
n03,0,10,early,30,10
n03,0,11,late,34,10
n03,0,12,night,38,10
n03,0,13,night,41,10
n04,1,0,late,1,12
n04,1,2,early,6,12
n04,1,3,early,9,12
n04,1,4,late,13,12
n04,1,5,night,17,12
n04,1,6,night,20,12
n04,1,7,night,23,12
n04,1,9,early,27,12
n04,1,10,early,30,12
n04,1,11,early,33,12
n04,1,12,early,36,12
n04,1,13,early,39,12
n05,0,0,night,2,10
n05,0,1,night,5,10
n05,0,2,night,8,10
n05,0,3,night,11,10
n05,0,5,late,16,10
n05,0,6,late,19,10
n05,0,7,late,22,10
n05,0,8,late,25,10
n05,0,10,late,31,10
n05,0,11,late,34,10
n05,0,12,late,37,10
n05,0,13,late,40,10
n06,0,0,night,2,10
n06,0,2,late,7,10
n06,0,3,late,10,10
n06,0,4,night,14,10
n06,0,6,early,18,10
n06,0,7,late,22,10
n06,0,8,late,25,10
n06,0,10,early,30,10
n06,0,11,early,33,10
n06,0,12,night,38,10
n07,0,0,night,2,10
n07,0,1,night,5,10
n07,0,3,late,10,10
n07,0,4,late,13,10
n07,0,5,late,16,10
n07,0,6,night,20,10
n07,0,7,night,23,10
n07,0,8,night,26,10
n07,0,10,early,30,10
n07,0,11,early,33,10
n07,0,12,early,36,10
n07,0,13,early,39,10
n08,0,0,late,1,10
n08,0,2,early,6,10
n08,0,3,night,11,10
n08,0,5,early,15,10
n08,0,6,early,18,10
n08,0,7,night,23,10
n08,0,9,early,27,10
n08,0,10,early,30,10
n08,0,11,late,34,10
n08,0,12,late,37,10
n08,0,13,night,41,10
n09,2,1,early,3,15
n09,2,2,early,6,15
n09,2,3,late,10,15
n09,2,5,early,15,15
n09,2,6,early,18,15
n09,2,7,late,22,15
n09,2,8,late,25,15
n09,2,9,night,29,15
n09,2,10,night,32,15
n09,2,11,night,35,5
n09,2,12,night,38,15
n10,2,0,late,1,5
n10,2,1,late,4,15
n10,2,3,early,9,15
n10,2,4,early,12,5
n10,2,5,early,15,5
n10,2,6,night,20,5
n10,2,8,early,24,15
n10,2,9,early,27,5
n10,2,10,late,31,15
n10,2,11,late,34,15
n10,2,12,late,37,15
n10,2,13,night,41,15
n11,0,0,late,1,10
n11,0,2,late,7,10
n11,0,4,early,12,10
n11,0,5,late,16,10
n11,0,7,late,22,10
n11,0,8,late,25,10
n11,0,9,late,28,10
n11,0,10,late,31,10
n11,0,11,night,35,10
n11,0,13,early,39,10
n12,1,0,late,1,12
n12,1,1,late,4,12
n12,1,2,late,7,12
n12,1,4,early,12,12
n12,1,5,late,16,12
n12,1,7,early,21,12
n12,1,8,early,24,12
n12,1,9,early,27,12
n12,1,10,early,30,12
n12,1,11,early,33,12
n12,1,12,early,36,12
n12,1,13,early,39,12
n13,0,0,early,0,10
n13,0,1,late,4,10
n13,0,2,late,7,10
n13,0,3,late,10,10
n13,0,4,late,13,10
n13,0,5,late,16,10
n13,0,6,late,19,10
n13,0,8,early,24,10
n13,0,9,late,28,10
n13,0,10,night,32,10
n13,0,11,night,35,10
n13,0,12,night,38,10
n14,1,0,early,0,12
n14,1,1,late,4,12
n14,1,4,early,12,12
n14,1,5,early,15,12
n14,1,6,late,19,12
n14,1,8,early,24,12
n14,1,9,early,27,12
n14,1,10,late,31,12
n14,1,11,night,35,12
n14,1,13,late,40,12
n15,1,1,early,3,12
n15,1,2,late,7,12
n15,1,4,late,13,12
n15,1,6,late,19,12
n15,1,8,late,25,12
n15,1,9,late,28,12
n15,1,10,night,32,12
n15,1,12,early,36,12
n15,1,13,late,40,12
n16,0,0,early,0,10
n16,0,1,early,3,10
n16,0,3,early,9,10
n16,0,4,late,13,10
n16,0,5,late,16,10
n16,0,6,late,19,10
n16,0,9,late,28,10
n16,0,12,late,37,10
n16,0,13,late,40,10
n17,2,0,early,0,15
n17,2,1,early,3,5
n17,2,2,night,8,5
n17,2,5,early,15,5
n17,2,6,night,20,15
n17,2,9,late,28,5
n17,2,12,late,37,15
n18,2,0,early,0,15
n18,2,1,late,4,15
n18,2,2,night,8,15
n18,2,5,early,15,15
n18,2,7,early,21,15
n18,2,9,late,28,15
n19,1,1,early,3,12
n19,1,3,early,9,12
n19,1,5,night,17,12
n19,1,7,early,21,12
n19,1,9,night,29,12
n20,0,7,early,21,10
n20,0,9,night,29,10
