room_id,day,shift,global_shift,total_room_workload,max_skill_required
r00,0,early,0,7,2
r00,0,late,1,8,1
r00,0,night,2,5,0
r00,1,early,3,6,1
r00,1,late,4,5,2
r00,1,night,5,5,0
r00,2,early,6,7,2
r00,2,late,7,7,2
r00,2,night,8,4,1
r00,3,early,9,8,1
r00,3,late,10,7,1
r00,3,night,11,6,1
r00,4,early,12,7,2
r00,4,late,13,4,2
r00,4,night,14,4,0
r00,5,early,15,6,2
r00,5,late,16,7,2
r00,5,night,17,5,0
r00,6,early,18,6,2
r00,6,late,19,7,2
r00,6,night,20,5,1
r00,7,early,21,6,0
r00,7,late,22,7,2
r00,7,night,23,5,1
r00,8,early,24,6,2
r00,8,late,25,7,2
r00,8,night,26,4,1
r00,9,early,27,7,1
r00,9,late,28,8,2
r00,9,night,29,5,1
r00,10,early,30,8,2
r00,10,late,31,5,2
r00,10,night,32,5,0
r00,11,early,33,7,1
r00,11,late,34,9,2
r00,11,night,35,4,1
r00,12,early,36,7,1
r00,12,late,37,5,2
r00,12,night,38,5,1
r00,13,early,39,7,2
r00,13,late,40,6,1
r00,13,night,41,5,1
r00,14,early,42,6,2
r00,14,late,43,7,2
r00,14,night,44,4,0
r00,15,early,45,6,2
r00,15,late,46,6,1
r00,15,night,47,6,1
r00,16,early,48,8,2
r00,16,late,49,6,1
r00,16,night,50,4,1
r00,17,early,51,6,2
r00,17,late,52,9,2
r00,17,night,53,4,0
r00,18,early,54,7,2
r00,18,late,55,7,2
r00,18,night,56,5,0
r00,19,early,57,6,1
r00,19,late,58,6,2
r00,19,night,59,5,1
r00,20,early,60,6,1
r00,20,late,61,6,2
r00,20,night,62,5,1
r00,21,early,63,9,2
r00,21,late,64,5,2
r00,21,night,65,4,0
r00,22,early,66,5,2
r00,22,late,67,5,2
r00,22,night,68,5,1
r00,23,early,69,5,1
r00,23,late,70,5,2
r00,23,night,71,4,0
r00,24,early,72,6,2
r00,24,late,73,7,2
r00,24,night,74,5,1
r00,25,early,75,4,2
r00,25,late,76,5,1
r00,25,night,77,2,0
r00,26,early,78,5,2
r00,26,late,79,7,1
r00,26,night,80,4,1
r00,27,early,81,4,2
r00,27,late,82,5,2
r00,27,night,83,3,0
r01,0,early,0,4,1
r01,0,late,1,3,2
r01,0,night,2,4,1
r01,1,early,3,6,2
r01,1,late,4,6,2
r01,1,night,5,5,0
r01,2,early,6,6,2
r01,2,late,7,5,2
r01,2,night,8,4,0
r01,3,early,9,7,2
r01,3,late,10,6,2
r01,3,night,11,5,1
r01,4,early,12,7,2
r01,4,late,13,7,2
r01,4,night,14,5,1
r01,5,early,15,7,2
r01,5,late,16,6,2
r01,5,night,17,4,1
r01,6,early,18,8,2
r01,6,late,19,7,2
r01,6,night,20,5,0
r01,7,early,21,9,1
r01,7,late,22,7,2
r01,7,night,23,5,0
r01,8,early,24,4,2
r01,8,late,25,4,2
r01,8,night,26,6,1
r01,9,early,27,7,1
r01,9,late,28,7,2
r01,9,night,29,5,0
r01,10,early,30,8,1
r01,10,late,31,8,0
r01,10,night,32,4,0
r01,11,early,33,6,2
r01,11,late,34,7,2
r01,11,night,35,4,0
r01,12,early,36,8,2
r01,12,late,37,5,2
r01,12,night,38,5,0
r01,13,early,39,5,2
r01,13,late,40,6,1
r01,13,night,41,6,1
r01,14,early,42,7,1
r01,14,late,43,6,1
r01,14,night,44,4,1
r01,15,early,45,7,2
r01,15,late,46,7,1
r01,15,night,47,4,0
r01,16,early,48,7,2
r01,16,late,49,6,2
r01,16,night,50,5,1
r01,17,early,51,7,1
r01,17,late,52,7,2
r01,17,night,53,3,0
r01,18,early,54,4,1
r01,18,late,55,9,2
r01,18,night,56,5,1
r01,19,early,57,8,1
r01,19,late,58,8,2
r01,19,night,59,5,1
r01,20,early,60,7,2
r01,20,late,61,7,2
r01,20,night,62,5,1
r01,21,early,63,7,2
r01,21,late,64,9,2
r01,21,night,65,3,1
r01,22,early,66,6,2
r01,22,late,67,7,1
r01,22,night,68,5,1
r01,23,early,69,6,1
r01,23,late,70,8,2
r01,23,night,71,5,1
r01,24,early,72,6,2
r01,24,late,73,6,2
r01,24,night,74,6,0
r01,25,early,75,7,1
r01,25,late,76,7,2
r01,25,night,77,5,0
r01,26,early,78,2,1
r01,26,late,79,3,2
r01,26,night,80,1,0
r02,0,early,0,2,1
r02,0,late,1,3,0
r02,0,night,2,1,0
r02,1,early,3,4,1
r02,1,late,4,5,2
r02,1,night,5,4,0
r02,2,early,6,4,2
r02,2,late,7,4,2
r02,2,night,8,3,1
r02,3,early,9,3,1
r02,3,late,10,5,2
r02,3,night,11,3,1
r02,4,early,12,6,2
r02,4,late,13,5,2
r02,4,night,14,3,0
r02,5,early,15,4,2
r02,5,late,16,4,2
r02,5,night,17,4,1
r02,6,early,18,3,0
r02,6,late,19,4,1
r02,6,night,20,3,0
r02,7,early,21,5,2
r02,7,late,22,5,2
r02,7,night,23,2,1
r02,8,early,24,4,2
r02,8,late,25,3,1
r02,8,night,26,3,1
r02,9,early,27,4,2
r02,9,late,28,5,2
r02,9,night,29,2,1
r02,10,early,30,5,1
r02,10,late,31,4,1
r02,10,night,32,2,1
r02,11,early,33,3,1
r02,11,late,34,5,0
r02,11,night,35,2,1
r02,12,early,36,5,1
r02,12,late,37,3,2
r02,12,night,38,2,1
r02,13,early,39,4,2
r02,13,late,40,4,1
r02,13,night,41,3,1
r02,14,early,42,4,1
r02,14,late,43,5,1
r02,14,night,44,3,0
r02,15,early,45,3,1
r02,15,late,46,3,0
r02,15,night,47,3,1
r02,16,early,48,4,1
r02,16,late,49,4,1
r02,16,night,50,3,1
r02,17,early,51,4,1
r02,17,late,52,4,2
r02,17,night,53,2,0
r02,18,early,54,4,0
r02,18,late,55,6,2
r02,18,night,56,3,0
r02,19,early,57,5,2
r02,19,late,58,4,0
r02,19,night,59,3,1
r02,20,early,60,4,2
r02,20,late,61,5,2
r02,20,night,62,4,0
r02,21,early,63,4,2
r02,21,late,64,5,1
r02,21,night,65,4,1
r02,22,early,66,5,2
r02,22,late,67,5,2
r02,22,night,68,3,1
r02,23,early,69,5,1
r02,23,late,70,3,1
r02,23,night,71,4,0
r02,24,early,72,5,2
r02,24,late,73,6,0
r02,24,night,74,4,1
r02,25,early,75,2,2
r02,25,late,76,3,0
r02,25,night,77,1,1
r02,26,early,78,3,1
r02,26,late,79,1,0
r02,26,night,80,2,0
r02,27,early,81,3,2
r02,27,late,82,1,0
r02,27,night,83,1,0
r03,0,early,0,1,1
r03,0,late,1,1,0
r03,0,night,2,1,0
r03,1,early,3,9,2
r03,1,late,4,10,1
r03,1,night,5,6,1
r03,2,early,6,11,2
r03,2,late,7,8,2
r03,2,night,8,5,1
r03,3,early,9,9,2
r03,3,late,10,10,2
r03,3,night,11,5,1
r03,4,early,12,9,1
r03,4,late,13,10,2
r03,4,night,14,5,1
r03,5,early,15,8,2
r03,5,late,16,11,2
r03,5,night,17,5,1
r03,6,early,18,5,1
r03,6,late,19,3,2
r03,6,night,20,4,0
r03,7,early,21,10,2
r03,7,late,22,8,2
r03,7,night,23,7,0
r03,8,early,24,9,1
r03,8,late,25,8,2
r03,8,night,26,5,1
r03,9,early,27,10,2
r03,9,late,28,8,2
r03,9,night,29,6,1
r03,10,early,30,9,2
r03,10,late,31,11,2
r03,10,night,32,6,1
r03,11,early,33,10,2
r03,11,late,34,7,2
r03,11,night,35,8,1
r03,12,early,36,3,1
r03,12,late,37,6,2
r03,12,night,38,3,0
r03,13,early,39,9,2
r03,13,late,40,9,2
r03,13,night,41,6,1
r03,14,early,42,9,2
r03,14,late,43,9,1
r03,14,night,44,7,1
r03,15,early,45,9,2
r03,15,late,46,8,2
r03,15,night,47,8,0
r03,16,early,48,9,2
r03,16,late,49,10,2
r03,16,night,50,8,1
r03,17,early,51,9,2
r03,17,late,52,9,2
r03,17,night,53,6,1
r03,18,early,54,8,2
r03,18,late,55,10,2
r03,18,night,56,6,1
r03,19,early,57,8,2
r03,19,late,58,11,2
r03,19,night,59,6,0
r03,20,early,60,8,2
r03,20,late,61,8,2
r03,20,night,62,4,1
r03,21,early,63,10,2
r03,21,late,64,11,2
r03,21,night,65,7,1
r03,22,early,66,9,2
r03,22,late,67,9,2
r03,22,night,68,6,1
r03,23,early,69,9,1
r03,23,late,70,8,2
r03,23,night,71,5,1
r03,24,early,72,9,1
r03,24,late,73,7,2
r03,24,night,74,7,1
r03,25,early,75,4,0
r03,25,late,76,4,2
r03,25,night,77,3,1
r03,26,early,78,1,0
r03,26,late,79,1,2
r03,26,night,80,2,0
r04,0,early,0,8,2
r04,0,late,1,7,2
r04,0,night,2,3,1
r04,1,early,3,7,2
r04,1,late,4,8,1
r04,1,night,5,4,1
r04,2,early,6,7,2
r04,2,late,7,7,2
r04,2,night,8,6,0
r04,3,early,9,5,2
r04,3,late,10,9,2
r04,3,night,11,4,1
r04,4,early,12,6,1
r04,4,late,13,8,2
r04,4,night,14,5,1
r04,5,early,15,7,2
r04,5,late,16,8,1
r04,5,night,17,4,1
r04,6,early,18,7,2
r04,6,late,19,7,2
r04,6,night,20,5,1
r04,7,early,21,6,2
r04,7,late,22,5,1
r04,7,night,23,5,1
r04,8,early,24,6,1
r04,8,late,25,6,2
r04,8,night,26,4,1
r04,9,early,27,7,2
r04,9,late,28,7,2
r04,9,night,29,4,1
r04,10,early,30,6,2
r04,10,late,31,6,0
r04,10,night,32,4,1
r04,11,early,33,7,2
r04,11,late,34,7,2
r04,11,night,35,4,0
r04,12,early,36,7,2
r04,12,late,37,6,2
r04,12,night,38,5,1
r04,13,early,39,8,2
r04,13,late,40,6,2
r04,13,night,41,5,1
r04,14,early,42,6,2
r04,14,late,43,7,2
r04,14,night,44,5,1
r04,15,early,45,7,1
r04,15,late,46,8,2
r04,15,night,47,5,1
r04,16,early,48,6,1
r04,16,late,49,8,2
r04,16,night,50,4,1
r04,17,early,51,6,2
r04,17,late,52,5,0
r04,17,night,53,5,1
r04,18,early,54,6,1
r04,18,late,55,6,2
r04,18,night,56,4,1
r04,19,early,57,7,2
r04,19,late,58,7,2
r04,19,night,59,5,1
r04,20,early,60,5,1
r04,20,late,61,5,2
r04,20,night,62,2,1
r04,21,early,63,6,1
r04,21,late,64,7,2
r04,21,night,65,5,0
r04,22,early,66,9,2
r04,22,late,67,8,2
r04,22,night,68,4,1
r04,23,early,69,6,2
r04,23,late,70,6,2
r04,23,night,71,4,1
r04,24,early,72,7,2
r04,24,late,73,7,1
r04,24,night,74,5,1
r04,25,early,75,6,2
r04,25,late,76,4,2
r04,25,night,77,5,1
r04,26,early,78,4,2
r04,26,late,79,4,2
r04,26,night,80,4,1
r05,0,early,0,5,2
r05,0,late,1,6,2
r05,0,night,2,3,0
r05,1,early,3,7,2
r05,1,late,4,8,2
r05,1,night,5,5,0
r05,2,early,6,8,2
r05,2,late,7,10,2
r05,2,night,8,5,1
r05,3,early,9,6,2
r05,3,late,10,10,1
r05,3,night,11,5,0
