room_id,day,shift,global_shift,total_room_workload,max_skill_required
r00,1,early,3,6,2
r00,1,late,4,7,2
r00,1,night,5,5,1
r00,2,early,6,6,2
r00,2,late,7,7,2
r00,2,night,8,6,0
r00,3,early,9,7,0
r00,3,late,10,7,2
r00,3,night,11,5,1
r00,4,early,12,7,2
r00,4,late,13,6,2
r00,4,night,14,4,1
r00,5,early,15,7,2
r00,5,late,16,8,1
r00,5,night,17,4,1
r00,6,early,18,2,2
r00,6,late,19,2,0
r00,6,night,20,2,0
r00,7,early,21,8,2
r00,7,late,22,7,1
r00,7,night,23,4,1
r00,8,early,24,8,2
r00,8,late,25,6,0
r00,8,night,26,5,1
r00,9,early,27,7,1
r00,9,late,28,4,2
r00,9,night,29,6,1
r00,10,early,30,5,2
r00,10,late,31,7,1
r00,10,night,32,6,1
r00,11,early,33,7,1
r00,11,late,34,8,2
r00,11,night,35,5,1
r00,12,early,36,8,2
r00,12,late,37,8,2
r00,12,night,38,5,1
r00,13,early,39,5,2
r00,13,late,40,8,2
r00,13,night,41,4,1
r00,14,early,42,6,0
r00,14,late,43,7,1
r00,14,night,44,4,0
r00,15,early,45,8,2
r00,15,late,46,6,1
r00,15,night,47,4,1
r00,16,early,48,5,2
r00,16,late,49,6,2
r00,16,night,50,4,1
r00,17,early,51,6,2
r00,17,late,52,7,2
r00,17,night,53,5,1
r00,18,early,54,8,1
r00,18,late,55,6,2
r00,18,night,56,4,1
r00,19,early,57,4,1
r00,19,late,58,7,2
r00,19,night,59,4,1
r00,20,early,60,3,0
r00,20,late,61,1,0
r00,20,night,62,1,0
r01,0,early,0,3,2
r01,0,late,1,3,1
r01,0,night,2,2,1
r01,1,early,3,7,1
r01,1,late,4,8,2
r01,1,night,5,4,1
r01,2,early,6,8,2
r01,2,late,7,6,2
r01,2,night,8,4,1
r01,3,early,9,4,2
r01,3,late,10,7,2
r01,3,night,11,4,0
r01,4,early,12,8,2
r01,4,late,13,7,1
r01,4,night,14,4,1
r01,5,early,15,7,2
r01,5,late,16,6,2
r01,5,night,17,5,0
r01,6,early,18,6,1
r01,6,late,19,8,2
r01,6,night,20,5,1
r01,7,early,21,8,2
r01,7,late,22,5,1
r01,7,night,23,5,1
r01,8,early,24,5,2
r01,8,late,25,7,2
r01,8,night,26,5,1
r01,9,early,27,8,2
r01,9,late,28,7,1
r01,9,night,29,5,1
r01,10,early,30,5,2
r01,10,late,31,4,0
r01,10,night,32,2,0
r01,11,early,33,7,0
r01,11,late,34,6,0
r01,11,night,35,3,1
r01,12,early,36,5,1
r01,12,late,37,4,2
r01,12,night,38,2,0
r01,13,early,39,7,2
r01,13,late,40,7,2
r01,13,night,41,5,1
r01,14,early,42,6,2
r01,14,late,43,6,2
r01,14,night,44,5,0
r01,15,early,45,6,1
r01,15,late,46,7,2
r01,15,night,47,5,1
r01,16,early,48,7,2
r01,16,late,49,6,2
r01,16,night,50,5,1
r01,17,early,51,7,2
r01,17,late,52,7,2
r01,17,night,53,4,0
r01,18,early,54,8,2
r01,18,late,55,6,2
r01,18,night,56,5,1
r01,19,early,57,7,1
r01,19,late,58,6,2
r01,19,night,59,5,1
r01,20,early,60,3,1
r01,20,late,61,4,2
r01,20,night,62,3,0
r02,0,early,0,7,2
r02,0,late,1,5,1
r02,0,night,2,3,0
r02,1,early,3,7,2
r02,1,late,4,7,1
r02,1,night,5,3,0
r02,2,early,6,7,2
r02,2,late,7,7,2
r02,2,night,8,4,1
r02,3,early,9,7,1
r02,3,late,10,7,1
r02,3,night,11,3,1
r02,4,early,12,7,1
r02,4,late,13,8,2
r02,4,night,14,3,0
r02,5,early,15,7,2
r02,5,late,16,7,1
r02,5,night,17,4,0
r02,6,early,18,5,2
r02,6,late,19,4,2
r02,6,night,20,3,0
r02,7,early,21,6,2
r02,7,late,22,9,1
