nurse_id,skill_level,day,shift,global_shift,max_load
n000,0,0,night,2,10
n000,0,2,early,6,10
n000,0,3,late,10,10
n000,0,5,early,15,10
n000,0,6,night,20,10
n000,0,8,early,24,10
n000,0,9,late,28,10
n000,0,10,late,31,10
n000,0,11,late,34,10
n000,0,12,night,38,10
n001,2,0,late,1,15
n001,2,1,night,5,15
n001,2,2,night,8,15
n001,2,3,night,11,15
n001,2,5,early,15,15
n001,2,6,early,18,15
n001,2,7,late,22,15
n001,2,8,late,25,15
n001,2,9,late,28,15
n001,2,10,late,31,15
n001,2,11,night,35,15
n001,2,13,early,39,15
n002,1,0,early,0,12
n002,1,1,night,5,12
n002,1,2,night,8,12
n002,1,3,night,11,12
n002,1,5,early,15,12
n002,1,6,early,18,12
n002,1,7,late,22,12
n002,1,8,late,25,12
n002,1,9,late,28,12
n002,1,10,late,31,12
n002,1,11,late,34,12
n002,1,12,late,37,12
n002,1,13,late,40,12
n003,1,0,night,2,12
n003,1,1,night,5,12
n003,1,3,early,9,12
n003,1,4,early,12,12
n003,1,5,late,16,12
n003,1,6,late,19,12
n003,1,7,late,22,12
n003,1,8,night,26,12
n003,1,10,late,31,12
n003,1,11,late,34,12
n003,1,12,late,37,12
n003,1,13,late,40,12
n004,2,0,late,1,15
n004,2,1,late,4,15
n004,2,2,late,7,5
n004,2,3,late,10,5
n004,2,4,night,14,5
n004,2,5,night,17,15
n004,2,6,night,20,5
n004,2,8,early,24,5
n004,2,9,early,27,15
n004,2,10,early,30,15
n004,2,11,early,33,15
n004,2,12,late,37,15
n004,2,13,late,40,15
n005,0,0,late,1,10
n005,0,1,late,4,10
n005,0,2,late,7,10
n005,0,3,late,10,10
n005,0,4,late,13,10
n005,0,5,late,16,10
n005,0,6,late,19,10
n005,0,7,night,23,10
n005,0,9,late,28,10
n005,0,11,late,34,10
n005,0,12,night,38,10
n006,2,0,night,2,5
n006,2,1,night,5,5
n006,2,2,night,8,15
n006,2,3,night,11,15
n006,2,5,late,16,15
n006,2,6,late,19,15
n006,2,8,early,24,5
n006,2,9,early,27,15
n006,2,10,late,31,15
n006,2,11,night,35,15
n006,2,12,night,38,15
n006,2,13,night,41,15
n007,2,0,early,0,5
n007,2,2,early,6,15
n007,2,3,early,9,15
n007,2,4,night,14,15
n007,2,6,late,19,15
n007,2,8,early,24,15
n007,2,9,late,28,15
n007,2,10,late,31,5
n007,2,11,night,35,15
n007,2,12,night,38,15
n007,2,13,night,41,15
n008,1,0,late,1,12
n008,1,1,night,5,12
n008,1,2,night,8,12
n008,1,3,night,11,12
n008,1,5,early,15,12
n008,1,6,early,18,12
n008,1,7,early,21,12
n008,1,8,early,24,12
n008,1,9,early,27,12
n008,1,10,early,30,12
n008,1,11,early,33,12
n008,1,12,late,37,12
n008,1,13,late,40,12
n009,0,0,late,1,10
n009,0,2,early,6,10
n009,0,3,early,9,10
n009,0,4,night,14,10
n009,0,5,night,17,10
n009,0,6,night,20,10
n009,0,8,late,25,10
n009,0,9,late,28,10
n009,0,10,night,32,10
n009,0,11,night,35,10
n009,0,12,night,38,10
n010,2,0,late,1,15
n010,2,2,early,6,5
n010,2,3,early,9,15
n010,2,4,early,12,15
n010,2,5,late,16,15
n010,2,6,night,20,15
n010,2,8,early,24,15
n010,2,9,early,27,15
n010,2,10,early,30,5
n010,2,11,late,34,15
n010,2,12,night,38,5
n010,2,13,night,41,15
n011,0,0,late,1,10
n011,0,1,night,5,10
n011,0,2,night,8,10
n011,0,4,early,12,10
n011,0,5,early,15,10
n011,0,6,late,19,10
n011,0,7,night,23,10
n011,0,8,night,26,10
n011,0,9,night,29,10
n011,0,10,night,32,10
n011,0,11,night,35,10
n011,0,13,late,40,10
n012,2,0,late,1,15
n012,2,1,late,4,15
n012,2,2,late,7,15
n012,2,3,night,11,5
n012,2,5,night,17,15
n012,2,7,night,23,15
n012,2,9,early,27,15
n012,2,10,early,30,5
n012,2,11,late,34,5
n012,2,13,early,39,5
n013,2,0,late,1,15
n013,2,1,night,5,15
n013,2,3,early,9,15
n013,2,4,late,13,15
n013,2,5,late,16,15
n013,2,6,late,19,5
n013,2,8,night,26,15
n013,2,9,night,29,15
n013,2,10,night,32,15
n013,2,12,early,36,15
n013,2,13,late,40,15
n014,0,0,late,1,10
n014,0,1,late,4,10
n014,0,2,late,7,10
n014,0,3,late,10,10
n014,0,4,late,13,10
n014,0,5,late,16,10
n014,0,6,late,19,10
n014,0,8,early,24,10
n014,0,9,early,27,10
n014,0,10,late,31,10
n014,0,11,late,34,10
n014,0,13,early,39,10
n015,2,0,night,2,15
n015,2,2,early,6,15
n015,2,3,late,10,15
n015,2,4,night,14,15
n015,2,5,night,17,15
n015,2,7,late,22,15
n015,2,8,late,25,15
n015,2,9,late,28,15
n015,2,10,night,32,15
n015,2,11,night,35,5
n015,2,12,night,38,15
n016,0,0,late,1,10
n016,0,1,night,5,10
n016,0,2,night,8,10
n016,0,3,night,11,10
n016,0,5,late,16,10
n016,0,6,late,19,10
n016,0,7,late,22,10
n016,0,9,early,27,10
n016,0,10,night,32,10
n016,0,11,night,35,10
n016,0,12,night,38,10
n017,1,0,late,1,12
n017,1,1,late,4,12
n017,1,2,late,7,12
n017,1,3,late,10,12
n017,1,4,late,13,12
n017,1,6,night,20,12
n017,1,7,night,23,12
n017,1,8,night,26,12
n017,1,9,night,29,12
n017,1,10,night,32,12
n017,1,12,late,37,12
n017,1,13,night,41,12
n018,2,0,late,1,15
n018,2,1,late,4,5
n018,2,2,night,8,15
n018,2,3,night,11,15
n018,2,4,night,14,5
n018,2,6,early,18,15
n018,2,7,early,21,15
n018,2,8,night,26,5
n018,2,9,night,29,5
n018,2,10,night,32,5
n018,2,12,late,37,15
n018,2,13,late,40,5
n019,0,0,late,1,10
n019,0,1,night,5,10
n019,0,2,night,8,10
n019,0,4,early,12,10
n019,0,5,early,15,10
n019,0,6,early,18,10
n019,0,7,early,21,10
n019,0,8,early,24,10
n019,0,9,late,28,10
n019,0,10,late,31,10
n019,0,12,early,36,10
n019,0,13,late,40,10
n020,2,1,early,3,15
n020,2,2,night,8,5
n020,2,3,night,11,15
n020,2,6,late,19,5
n020,2,7,late,22,5
n020,2,8,late,25,15
n020,2,9,late,28,15
n020,2,10,late,31,15
n020,2,11,late,34,15
n020,2,13,late,40,15
n021,0,0,night,2,10
n021,0,1,night,5,10
n021,0,3,late,10,10
n021,0,4,late,13,10
n021,0,5,late,16,10
n021,0,6,late,19,10
n021,0,7,late,22,10
n021,0,8,night,26,10
n021,0,10,early,30,10
n021,0,11,early,33,10
n021,0,12,early,36,10
n021,0,13,early,39,10
n022,2,1,early,3,15
n022,2,2,early,6,5
n022,2,3,early,9,15
n022,2,4,early,12,15
n022,2,5,early,15,15
n022,2,6,early,18,5
n022,2,7,late,22,15
n022,2,8,late,25,15
n022,2,9,late,28,15
n022,2,10,night,32,15
n022,2,12,late,37,15
n023,2,0,night,2,15
n023,2,2,early,6,15
n023,2,3,late,10,15
n023,2,4,late,13,15
n023,2,5,late,16,15
n023,2,6,late,19,15
n023,2,8,early,24,5
n023,2,9,late,28,15
n023,2,10,late,31,15
n023,2,11,night,35,15
n023,2,12,night,38,15
n024,2,0,night,2,15
n024,2,2,late,7,5
n024,2,3,late,10,15
n024,2,4,night,14,15
n024,2,6,early,18,15
n024,2,7,early,21,15
n024,2,8,early,24,5
n024,2,9,early,27,15
n024,2,10,early,30,15
n024,2,11,late,34,15
n024,2,12,late,37,5
n024,2,13,night,41,15
n025,2,0,night,2,15
n025,2,1,night,5,15
n025,2,2,night,8,15
n025,2,4,late,13,15
n025,2,5,late,16,5
n025,2,6,late,19,15
n025,2,7,night,23,15
n025,2,9,early,27,15
n025,2,10,late,31,15
n025,2,11,late,34,5
n025,2,12,late,37,15
n025,2,13,late,40,15
n026,0,0,night,2,10
n026,0,3,night,11,10
n026,0,4,night,14,10
n026,0,6,early,18,10
n026,0,7,early,21,10
n026,0,8,late,25,10
n026,0,9,night,29,10
n026,0,10,night,32,10
n026,0,12,early,36,10
n026,0,13,early,39,10
n027,1,0,night,2,12
n027,1,2,early,6,12
n027,1,3,early,9,12
n027,1,4,early,12,12
n027,1,5,early,15,12
n027,1,6,night,20,12
n027,1,7,night,23,12
n027,1,8,night,26,12
n027,1,9,night,29,12
n027,1,11,night,35,12
n027,1,12,night,38,12
n028,0,0,night,2,10
n028,0,1,night,5,10
n028,0,2,night,8,10
n028,0,3,night,11,10
n028,0,4,night,14,10
n028,0,6,early,18,10
n028,0,7,late,22,10
n028,0,8,late,25,10
n028,0,9,late,28,10
n028,0,10,late,31,10
n028,0,12,late,37,10
n028,0,13,late,40,10
n029,0,0,night,2,10
n029,0,2,early,6,10
n029,0,3,late,10,10
n029,0,4,night,14,10
n029,0,6,night,20,10
n029,0,7,night,23,10
n029,0,9,early,27,10
n029,0,10,early,30,10
n029,0,11,early,33,10
n029,0,12,late,37,10
n029,0,13,late,40,10
n030,2,0,early,0,15
n030,2,1,late,4,5
n030,2,2,night,8,15
n030,2,3,night,11,15
n030,2,5,early,15,15
n030,2,6,late,19,15
n030,2,7,late,22,15
n030,2,8,late,25,15
n030,2,9,night,29,15
n030,2,11,late,34,5
n030,2,12,night,38,5
n030,2,13,night,41,15
n031,1,0,early,0,12
n031,1,1,early,3,12
n031,1,2,early,6,12
n031,1,3,early,9,12
n031,1,4,late,13,12
n031,1,5,late,16,12
n031,1,6,late,19,12
n031,1,7,late,22,12
n031,1,8,late,25,12
n031,1,9,late,28,12
n031,1,10,late,31,12
n031,1,11,late,34,12
n031,1,12,late,37,12
n032,1,1,early,3,12
n032,1,2,late,7,12
n032,1,3,late,10,12
n032,1,5,early,15,12
n032,1,6,late,19,12
n032,1,7,late,22,12
n032,1,9,late,28,12
n032,1,10,late,31,12
n032,1,11,late,34,12
n032,1,12,late,37,12
n032,1,13,night,41,12
n033,0,0,early,0,10
n033,0,1,late,4,10
n033,0,2,late,7,10
n033,0,3,late,10,10
n033,0,4,night,14,10
n033,0,5,night,17,10
n033,0,6,night,20,10
n033,0,7,night,23,10
n033,0,8,night,26,10
n033,0,10,early,30,10
n033,0,11,early,33,10
n033,0,12,early,36,10
n033,0,13,early,39,10
n034,2,0,early,0,15
n034,2,2,early,6,15
n034,2,4,early,12,15
n034,2,5,early,15,15
n034,2,6,late,19,15
n034,2,7,late,22,5
n034,2,8,night,26,15
n034,2,10,late,31,15
n034,2,11,late,34,15
n034,2,12,late,37,15
n034,2,13,late,40,15
n035,2,1,late,4,5
n035,2,2,late,7,15
n035,2,3,late,10,5
n035,2,4,late,13,5
n035,2,5,late,16,5
n035,2,6,night,20,15
n035,2,8,early,24,5
n035,2,9,early,27,15
n035,2,10,early,30,5
n035,2,11,early,33,5
n035,2,12,night,38,5
n035,2,13,night,41,15
n036,2,1,early,3,15
n036,2,2,early,6,15
n036,2,3,early,9,15
n036,2,4,early,12,15
n036,2,5,late,16,15
n036,2,6,night,20,15
n036,2,7,night,23,15
n036,2,9,early,27,15
n036,2,10,early,30,15
n036,2,11,early,33,15
n036,2,13,early,39,15
n037,2,0,early,0,15
n037,2,1,late,4,5
n037,2,3,early,9,15
n037,2,4,early,12,5
n037,2,5,late,16,5
n037,2,6,night,20,15
n037,2,8,early,24,15
n037,2,9,night,29,15
n037,2,10,night,32,15
n037,2,11,night,35,15
n037,2,13,night,41,15
n038,0,0,early,0,10
n038,0,1,early,3,10
n038,0,2,late,7,10
n038,0,4,early,12,10
n038,0,5,night,17,10
n038,0,7,early,21,10
n038,0,8,late,25,10
n038,0,9,night,29,10
n038,0,10,night,32,10
n038,0,12,early,36,10
n038,0,13,early,39,10
n039,1,1,late,4,12
n039,1,3,early,9,12
n039,1,4,early,12,12
n039,1,5,late,16,12
n039,1,6,night,20,12
n039,1,7,night,23,12
n039,1,8,night,26,12
n039,1,9,night,29,12
n039,1,10,night,32,12
n039,1,11,night,35,12
n039,1,12,night,38,12
n039,1,13,night,41,12
n040,2,0,early,0,15
n040,2,1,early,3,5
n040,2,3,early,9,15
n040,2,5,early,15,15
n040,2,7,early,21,15
n040,2,8,early,24,15
n040,2,10,early,30,15
n040,2,11,early,33,15
n040,2,12,early,36,15
n040,2,13,late,40,5
n041,0,0,early,0,10
n041,0,1,late,4,10
n041,0,2,late,7,10
n041,0,3,late,10,10
n041,0,4,late,13,10
n041,0,5,night,17,10
n041,0,7,early,21,10
n041,0,8,night,26,10
n041,0,11,early,33,10
n041,0,12,early,36,10
n041,0,13,early,39,10
n042,2,0,early,0,15
n042,2,1,late,4,5
n042,2,2,late,7,15
n042,2,4,early,12,15
n042,2,5,early,15,15
n042,2,6,early,18,15
n042,2,7,early,21,15
n042,2,8,early,24,15
n042,2,9,night,29,15
n042,2,11,late,34,15
