nurse_id,skill_level,day,shift,global_shift,max_load
n000,2,0,night,2,5
n000,2,1,night,5,15
n000,2,2,night,8,15
n000,2,3,night,11,15
n000,2,4,night,14,15
n000,2,5,night,17,15
n000,2,7,night,23,5
n000,2,9,early,27,15
n000,2,10,early,30,15
n000,2,11,late,34,15
n000,2,12,night,38,15
n000,2,13,night,41,5
n000,2,14,night,44,5
n000,2,15,night,47,15
n000,2,17,night,53,15
n000,2,19,late,58,5
n000,2,20,late,61,15
n001,0,0,late,1,10
n001,0,1,late,4,10
n001,0,2,late,7,10
n001,0,3,late,10,10
n001,0,4,late,13,10
n001,0,5,night,17,10
n001,0,6,night,20,10
n001,0,8,late,25,10
n001,0,9,late,28,10
n001,0,10,late,31,10
n001,0,11,late,34,10
n001,0,13,late,40,10
n001,0,14,late,43,10
n001,0,15,late,46,10
n001,0,16,night,50,10
n001,0,17,night,53,10
n001,0,18,night,56,10
n001,0,20,early,60,10
n002,0,0,late,1,10
n002,0,2,early,6,10
n002,0,3,night,11,10
n002,0,4,night,14,10
n002,0,6,early,18,10
n002,0,7,early,21,10
n002,0,9,early,27,10
n002,0,10,early,30,10
n002,0,11,early,33,10
n002,0,12,early,36,10
n002,0,13,late,40,10
n002,0,14,night,44,10
n002,0,16,early,48,10
n002,0,17,early,51,10
n002,0,18,early,54,10
n002,0,19,early,57,10
n002,0,20,early,60,10
n003,2,0,night,2,15
n003,2,1,night,5,15
n003,2,3,early,9,15
n003,2,4,early,12,15
n003,2,5,early,15,15
n003,2,6,early,18,5
n003,2,7,early,21,15
n003,2,8,early,24,15
n003,2,9,late,28,5
n003,2,10,late,31,15
n003,2,11,late,34,15
n003,2,12,night,38,5
n003,2,15,early,45,5
n003,2,16,early,48,15
n003,2,17,early,51,5
n003,2,18,night,56,15
n003,2,20,late,61,15
n004,1,0,night,2,12
n004,1,2,early,6,12
n004,1,3,late,10,12
n004,1,4,night,14,12
n004,1,5,night,17,12
n004,1,7,early,21,12
n004,1,8,early,24,12
n004,1,9,early,27,12
n004,1,10,early,30,12
n004,1,11,early,33,12
n004,1,12,early,36,12
n004,1,13,late,40,12
n004,1,14,late,43,12
n004,1,15,late,46,12
n004,1,16,late,49,12
n004,1,18,early,54,12
n004,1,19,night,59,12
n004,1,20,night,62,12
n005,2,0,late,1,15
n005,2,1,late,4,15
n005,2,2,night,8,15
n005,2,3,night,11,15
n005,2,5,early,15,15
n005,2,6,night,20,15
n005,2,7,night,23,5
n005,2,8,night,26,15
n005,2,9,night,29,15
n005,2,10,night,32,15
n005,2,11,night,35,15
n005,2,13,early,39,15
n005,2,14,early,42,15
n005,2,15,early,45,5
n005,2,16,early,48,15
n005,2,17,night,53,5
n005,2,19,late,58,15
n005,2,20,night,62,15
n006,0,0,late,1,10
n006,0,1,late,4,10
n006,0,3,early,9,10
n006,0,4,early,12,10
n006,0,5,early,15,10
n006,0,6,late,19,10
n006,0,7,late,22,10
n006,0,8,late,25,10
n006,0,10,early,30,10
n006,0,11,early,33,10
n006,0,12,early,36,10
n006,0,13,late,40,10
n006,0,14,night,44,10
n006,0,15,night,47,10
n006,0,17,early,51,10
n006,0,18,late,55,10
n006,0,19,night,59,10
n006,0,20,night,62,10
n007,2,0,early,0,15
n007,2,1,late,4,15
n007,2,2,late,7,15
n007,2,4,early,12,5
n007,2,5,late,16,15
n007,2,6,late,19,15
n007,2,8,early,24,15
n007,2,9,night,29,15
n007,2,10,night,32,15
n007,2,11,night,35,15
n007,2,13,early,39,5
n007,2,14,early,42,15
n007,2,15,late,46,5
n007,2,16,late,49,15
n007,2,17,night,53,5
n007,2,18,night,56,15
n007,2,20,early,60,15
n008,2,0,late,1,15
n008,2,1,night,5,15
n008,2,2,night,8,15
n008,2,4,night,14,15
n008,2,5,night,17,15
n008,2,6,night,20,15
n008,2,7,night,23,15
n008,2,8,night,26,15
n008,2,9,night,29,15
