room_id,day,shift,global_shift,total_room_workload,max_skill_required
r00,0,early,0,6,2
r00,0,late,1,5,0
r00,0,night,2,3,0
r00,1,early,3,6,2
r00,1,late,4,8,1
r00,1,night,5,4,1
r00,2,early,6,7,2
r00,2,late,7,10,2
r00,2,night,8,7,1
r00,3,early,9,6,2
r00,3,late,10,7,2
r00,3,night,11,5,1
r00,4,early,12,9,2
r00,4,late,13,10,2
r00,4,night,14,5,1
r00,5,early,15,10,2
r00,5,late,16,9,2
r00,5,night,17,6,1
r00,6,early,18,7,2
r00,6,late,19,7,2
r00,6,night,20,7,0
r00,7,early,21,6,2
r00,7,late,22,7,1
r00,7,night,23,7,1
r00,8,early,24,9,2
r00,8,late,25,9,2
r00,8,night,26,6,1
r00,9,early,27,8,2
r00,9,late,28,9,1
r00,9,night,29,7,1
r00,10,early,30,7,2
r00,10,late,31,9,2
r00,10,night,32,7,1
r00,11,early,33,6,2
r00,11,late,34,9,2
r00,11,night,35,6,0
r00,12,early,36,4,2
r00,12,late,37,3,2
r00,12,night,38,3,1
r00,13,early,39,1,2
r00,13,late,40,1,0
r00,13,night,41,2,1
r01,0,early,0,6,1
r01,0,late,1,4,0
r01,0,night,2,2,0
r01,1,early,3,6,2
r01,1,late,4,4,2
r01,1,night,5,2,1
r01,2,early,6,7,2
r01,2,late,7,9,2
r01,2,night,8,7,1
r01,3,early,9,9,2
r01,3,late,10,10,2
r01,3,night,11,5,1
r01,4,early,12,8,2
r01,4,late,13,8,1
r01,4,night,14,8,1
r01,5,early,15,10,2
r01,5,late,16,7,0
r01,5,night,17,5,1
r01,6,early,18,9,1
r01,6,late,19,11,2
r01,6,night,20,5,1
r01,7,early,21,10,2
r01,7,late,22,9,2
r01,7,night,23,6,0
r01,8,early,24,6,1
r01,8,late,25,11,2
r01,8,night,26,6,1
r01,9,early,27,5,2
r01,9,late,28,3,2
r01,9,night,29,3,0
r01,10,early,30,9,2
r01,10,late,31,10,2
r01,10,night,32,7,1
r01,11,early,33,10,2
r01,11,late,34,9,1
r01,11,night,35,6,1
r01,12,early,36,10,2
r01,12,late,37,5,2
r01,12,night,38,7,1
r01,13,early,39,5,2
r01,13,late,40,4,2
r01,13,night,41,2,1
r02,0,early,0,8,2
r02,0,late,1,6,2
r02,0,night,2,3,0
r02,1,early,3,7,1
r02,1,late,4,6,2
r02,1,night,5,3,1
r02,2,early,6,5,0
r02,2,late,7,6,2
r02,2,night,8,5,0
r02,3,early,9,8,2
r02,3,late,10,5,2
r02,3,night,11,3,1
r02,4,early,12,8,1
r02,4,late,13,7,2
r02,4,night,14,5,1
r02,5,early,15,6,1
r02,5,late,16,5,1
r02,5,night,17,4,1
r02,6,early,18,8,2
r02,6,late,19,5,2
r02,6,night,20,4,1
r02,7,early,21,6,2
r02,7,late,22,7,1
r02,7,night,23,3,1
r02,8,early,24,7,2
r02,8,late,25,7,2
r02,8,night,26,4,1
r02,9,early,27,8,1
r02,9,late,28,6,2
r02,9,night,29,5,1
r02,10,early,30,9,2
r02,10,late,31,5,1
r02,10,night,32,5,1
r02,11,early,33,4,1
r02,11,late,34,4,2
r02,11,night,35,3,0
r02,12,early,36,1,0
