nurse_id,skill_level,day,shift,global_shift,max_load
n00,1,0,early,0,12
n00,1,1,early,3,12
n00,1,2,night,8,12
n00,1,3,night,11,12
n00,1,4,night,14,12
n00,1,6,late,19,12
n00,1,7,late,22,12
n00,1,8,late,25,12
n00,1,9,late,28,12
n00,1,10,late,31,12
n00,1,11,late,34,12
n00,1,12,late,37,12
n00,1,13,late,40,12
n01,0,0,late,1,10
n01,0,1,late,4,10
n01,0,2,late,7,10
n01,0,3,night,11,10
n01,0,4,night,14,10
n01,0,6,early,18,10
n01,0,7,early,21,10
n01,0,8,late,25,10
n01,0,9,late,28,10
n01,0,11,early,33,10
n01,0,12,early,36,10
n01,0,13,late,40,10
n02,2,0,night,2,15
n02,2,1,night,5,15
n02,2,2,night,8,15
n02,2,4,early,12,5
n02,2,5,early,15,15
n02,2,6,early,18,15
n02,2,7,late,22,15
n02,2,8,late,25,15
n02,2,9,late,28,15
n02,2,10,late,31,15
n02,2,12,night,38,15
n03,1,0,late,1,12
n03,1,1,late,4,12
n03,1,2,late,7,12
n03,1,3,late,10,12
n03,1,4,night,14,12
n03,1,5,night,17,12
n03,1,7,early,21,12
n03,1,8,late,25,12
n03,1,9,night,29,12
n03,1,10,night,32,12
n03,1,12,early,36,12
n03,1,13,early,39,12
n04,1,0,late,1,12
n04,1,1,late,4,12
n04,1,2,late,7,12
n04,1,3,late,10,12
n04,1,4,late,13,12
n04,1,5,late,16,12
n04,1,7,early,21,12
n04,1,8,early,24,12
n04,1,9,late,28,12
n04,1,10,late,31,12
n04,1,11,night,35,12
n04,1,12,night,38,12
n05,1,0,night,2,12
n05,1,2,early,6,12
n05,1,3,early,9,12
n05,1,4,late,13,12
n05,1,6,night,20,12
n05,1,7,night,23,12
n05,1,8,night,26,12
n05,1,9,night,29,12
n05,1,12,late,37,12
n05,1,13,late,40,12
n06,1,0,late,1,12
n06,1,1,night,5,12
n06,1,2,night,8,12
n06,1,3,night,11,12
n06,1,5,night,17,12
n06,1,8,late,25,12
n06,1,9,night,29,12
n06,1,10,night,32,12
n06,1,11,night,35,12
n06,1,12,night,38,12
n06,1,13,night,41,12
n07,2,0,night,2,15
n07,2,1,night,5,15
n07,2,2,night,8,5
n07,2,4,early,12,15
n07,2,5,early,15,5
n07,2,6,late,19,15
n07,2,7,late,22,5
n07,2,8,late,25,15
n07,2,9,late,28,15
n07,2,10,late,31,15
n07,2,11,night,35,15
n07,2,12,night,38,15
n08,1,0,night,2,12
n08,1,1,night,5,12
n08,1,2,night,8,12
n08,1,3,night,11,12
n08,1,5,night,17,12
n08,1,6,night,20,12
n08,1,7,night,23,12
n08,1,8,night,26,12
n08,1,9,night,29,12
n08,1,10,night,32,12
n08,1,12,late,37,12
n08,1,13,late,40,12
n09,1,1,early,3,12
n09,1,2,late,7,12
n09,1,3,late,10,12
n09,1,4,night,14,12
n09,1,5,night,17,12
n09,1,6,night,20,12
n09,1,7,night,23,12
n09,1,8,night,26,12
n09,1,10,early,30,12
n09,1,11,early,33,12
n09,1,12,late,37,12
n09,1,13,late,40,12
n10,1,1,early,3,12
n10,1,2,late,7,12
n10,1,3,late,10,12
n10,1,4,night,14,12
n10,1,5,night,17,12
n10,1,6,night,20,12
n10,1,8,early,24,12
n10,1,9,early,27,12
n10,1,10,late,31,12
n10,1,11,late,34,12
n10,1,12,late,37,12
n10,1,13,late,40,12
n11,2,0,late,1,5
n11,2,1,late,4,15
n11,2,2,late,7,15
n11,2,3,late,10,15
n11,2,4,late,13,5
n11,2,6,early,18,15
n11,2,7,early,21,15
n11,2,8,early,24,15
n11,2,9,late,28,15
n11,2,10,late,31,5
n11,2,13,early,39,5
n12,1,0,late,1,12
n12,1,1,late,4,12
n12,1,3,early,9,12
n12,1,4,early,12,12
n12,1,6,early,18,12
n12,1,7,night,23,12
n12,1,8,night,26,12
n12,1,9,night,29,12
n12,1,11,early,33,12
n12,1,12,late,37,12
n12,1,13,late,40,12
n13,0,0,late,1,10
n13,0,1,late,4,10
n13,0,3,early,9,10
n13,0,5,early,15,10
n13,0,6,late,19,10
n13,0,8,early,24,10
n13,0,10,early,30,10
n13,0,11,late,34,10
n13,0,13,early,39,10
n14,2,0,early,0,5
n14,2,1,late,4,15
n14,2,3,early,9,15
n14,2,4,late,13,15
n14,2,5,late,16,15
n14,2,6,late,19,5
n14,2,7,late,22,15
n14,2,8,night,26,15
n14,2,10,early,30,15
n14,2,11,late,34,15
n14,2,13,early,39,15
n15,2,1,early,3,15
n15,2,2,early,6,5
n15,2,3,early,9,15
n15,2,4,early,12,15
n15,2,5,early,15,15
n15,2,6,early,18,5
n15,2,7,late,22,15
n15,2,9,early,27,15
n15,2,10,early,30,15
n15,2,11,early,33,15
n15,2,12,early,36,15
n15,2,13,night,41,5
n16,1,0,early,0,12
n16,1,3,early,9,12
n16,1,4,late,13,12
n16,1,5,late,16,12
n16,1,6,late,19,12
n16,1,7,late,22,12
n16,1,9,early,27,12
n16,1,10,early,30,12
n16,1,11,late,34,12
n16,1,13,early,39,12
n17,1,1,early,3,12
n17,1,3,late,10,12
n17,1,4,late,13,12
n17,1,5,late,16,12
n17,1,6,late,19,12
n17,1,7,night,23,12
n17,1,9,early,27,12
n17,1,10,early,30,12
n17,1,11,early,33,12
n17,1,12,early,36,12
n17,1,13,night,41,12
n18,0,0,early,0,10
n18,0,2,early,6,10
n18,0,3,night,11,10
n18,0,5,late,16,10
n18,0,6,night,20,10
n18,0,8,early,24,10
n18,0,10,late,31,10
n18,0,11,late,34,10
n18,0,13,early,39,10
n19,2,0,early,0,15
n19,2,1,early,3,15
n19,2,4,early,12,5
n19,2,5,late,16,5
n19,2,7,early,21,15
n19,2,8,early,24,5
n19,2,9,early,27,5
n19,2,10,night,32,15
n19,2,12,early,36,15
n19,2,13,night,41,15
n20,1,0,early,0,12
n20,1,2,early,6,12
n20,1,4,early,12,12
n20,1,6,early,18,12
n20,1,8,early,24,12
n20,1,10,night,32,12
n20,1,11,night,35,12
n20,1,13,night,41,12
n21,1,0,early,0,12
n21,1,2,early,6,12
n21,1,4,early,12,12
n21,1,5,early,15,12
n21,1,6,early,18,12
n21,1,9,early,27,12
n21,1,11,early,33,12
n21,1,13,early,39,12
n22,2,2,early,6,15
n22,2,4,late,13,15
n22,2,6,late,19,15
n22,2,9,early,27,15
n22,2,11,late,34,15
n23,1,2,early,6,12
n23,1,5,early,15,12
n23,1,7,early,21,12
n23,1,11,night,35,12
n24,1,5,late,16,12
n24,1,12,early,36,12
n25,1,5,early,15,12
