room_id,day,shift,global_shift,total_room_workload,max_skill_required
r00,0,early,0,4,2
r00,0,late,1,4,1
r00,0,night,2,3,1
r00,1,early,3,6,2
r00,1,late,4,5,0
r00,1,night,5,4,1
r00,2,early,6,6,2
r00,2,late,7,7,2
r00,2,night,8,4,1
r00,3,early,9,8,2
r00,3,late,10,7,2
r00,3,night,11,3,1
r00,4,early,12,7,2
r00,4,late,13,8,2
r00,4,night,14,6,1
r00,5,early,15,7,1
r00,5,late,16,8,0
r00,5,night,17,4,0
r00,6,early,18,7,2
r00,6,late,19,6,2
r00,6,night,20,5,0
r00,7,early,21,7,1
r00,7,late,22,7,1
r00,7,night,23,5,0
r00,8,early,24,7,2
r00,8,late,25,8,2
r00,8,night,26,4,0
r00,9,early,27,7,2
r00,9,late,28,9,2
r00,9,night,29,4,1
r00,10,early,30,5,1
r00,10,late,31,3,1
r00,10,night,32,3,0
r00,11,early,33,7,1
r00,11,late,34,9,2
r00,11,night,35,4,1
r00,12,early,36,8,0
r00,12,late,37,6,2
r00,12,night,38,4,1
r00,13,early,39,7,2
r00,13,late,40,5,2
r00,13,night,41,4,1
r00,14,early,42,6,2
r00,14,late,43,7,2
r00,14,night,44,6,1
r00,15,early,45,5,1
r00,15,late,46,8,1
r00,15,night,47,5,1
r00,16,early,48,8,2
r00,16,late,49,6,1
r00,16,night,50,4,0
r00,17,early,51,7,2
r00,17,late,52,8,0
r00,17,night,53,4,1
r00,18,early,54,9,2
r00,18,late,55,8,1
r00,18,night,56,4,1
r00,19,early,57,5,2
r00,19,late,58,5,2
r00,19,night,59,4,1
r00,20,early,60,6,0
r00,20,late,61,6,2
r00,20,night,62,3,1
r00,21,early,63,6,1
r00,21,late,64,7,1
r00,21,night,65,4,1
r00,22,early,66,5,2
r00,22,late,67,6,2
r00,22,night,68,4,1
r00,23,early,69,6,2
r00,23,late,70,5,2
r00,23,night,71,4,0
r00,24,early,72,7,2
r00,24,late,73,5,1
r00,24,night,74,5,1
r00,25,early,75,3,2
r00,25,late,76,2,1
r00,25,night,77,1,0
r00,26,early,78,2,2
r00,26,late,79,3,0
r00,26,night,80,2,0
r00,27,early,81,3,0
r00,27,late,82,3,0
r00,27,night,83,1,0
r01,0,early,0,5,1
r01,0,late,1,8,2
r01,0,night,2,5,1
r01,1,early,3,8,2
r01,1,late,4,6,2
r01,1,night,5,5,0
r01,2,early,6,5,2
r01,2,late,7,6,2
r01,2,night,8,4,1
r01,3,early,9,7,2
r01,3,late,10,5,2
r01,3,night,11,4,0
r01,4,early,12,7,2
r01,4,late,13,7,1
r01,4,night,14,4,1
r01,5,early,15,7,2
r01,5,late,16,7,1
r01,5,night,17,4,1
r01,6,early,18,7,2
r01,6,late,19,8,2
r01,6,night,20,5,1
r01,7,early,21,5,2
r01,7,late,22,8,2
r01,7,night,23,3,0
r01,8,early,24,8,2
r01,8,late,25,7,2
r01,8,night,26,3,1
r01,9,early,27,7,2
r01,9,late,28,5,1
r01,9,night,29,5,0
r01,10,early,30,8,2
r01,10,late,31,7,2
r01,10,night,32,5,1
r01,11,early,33,6,2
r01,11,late,34,5,2
r01,11,night,35,5,0
r01,12,early,36,6,2
r01,12,late,37,7,2
r01,12,night,38,6,1
r01,13,early,39,5,2
r01,13,late,40,6,1
r01,13,night,41,4,1
r01,14,early,42,6,2
r01,14,late,43,7,2
r01,14,night,44,5,1
