nurse_id,skill_level,day,shift,global_shift,max_load
n000,0,0,early,0,10
n000,0,1,early,3,10
n000,0,2,early,6,10
n000,0,3,early,9,10
n000,0,4,late,13,10
n000,0,5,late,16,10
n000,0,6,late,19,10
n000,0,7,late,22,10
n000,0,8,night,26,10
n000,0,10,early,30,10
n000,0,11,early,33,10
n000,0,12,early,36,10
n000,0,13,late,40,10
n000,0,14,late,43,10
n000,0,15,late,46,10
n000,0,16,late,49,10
n000,0,17,late,52,10
n000,0,18,late,55,10
n000,0,19,night,59,10
n000,0,20,night,62,10
n000,0,21,night,65,10
n000,0,22,night,68,10
n000,0,23,night,71,10
n000,0,25,early,75,10
n000,0,27,early,81,10
n001,1,0,night,2,12
n001,1,1,night,5,12
n001,1,3,early,9,12
n001,1,4,late,13,12
n001,1,5,night,17,12
n001,1,6,night,20,12
n001,1,7,night,23,12
n001,1,8,night,26,12
n001,1,10,late,31,12
n001,1,11,night,35,12
n001,1,12,night,38,12
n001,1,13,night,41,12
n001,1,15,late,46,12
n001,1,16,late,49,12
n001,1,17,late,52,12
n001,1,18,night,56,12
n001,1,19,night,59,12
n001,1,20,night,62,12
n001,1,21,night,65,12
n001,1,22,night,68,12
n001,1,23,night,71,12
n001,1,25,late,76,12
n001,1,26,late,79,12
n001,1,27,late,82,12
n002,0,0,late,1,10
n002,0,1,late,4,10
n002,0,2,late,7,10
n002,0,3,late,10,10
n002,0,4,late,13,10
n002,0,5,late,16,10
n002,0,6,late,19,10
n002,0,7,late,22,10
n002,0,8,night,26,10
n002,0,10,early,30,10
n002,0,11,early,33,10
n002,0,12,early,36,10
n002,0,13,early,39,10
n002,0,14,early,42,10
n002,0,15,night,47,10
n002,0,17,early,51,10
n002,0,18,late,55,10
n002,0,19,late,58,10
n002,0,20,night,62,10
n002,0,22,early,66,10
n002,0,23,late,70,10
n002,0,24,night,74,10
n002,0,25,night,77,10
n002,0,27,early,81,10
n003,2,0,night,2,15
n003,2,1,night,5,15
n003,2,2,night,8,5
n003,2,3,night,11,15
