nurse_id,skill_level,day,shift,global_shift,max_load
n000,2,0,night,2,5
n000,2,2,early,6,5
n000,2,3,late,10,15
n000,2,4,late,13,5
n000,2,5,late,16,15
n000,2,6,late,19,5
n000,2,7,late,22,5
n000,2,8,late,25,15
n000,2,9,late,28,15
n000,2,11,early,33,15
n000,2,12,early,36,15
n001,1,0,late,1,12
n001,1,2,late,7,12
n001,1,3,night,11,12
n001,1,4,night,14,12
n001,1,6,night,20,12
n001,1,8,late,25,12
n001,1,9,late,28,12
n001,1,10,night,32,12
n001,1,11,night,35,12
n001,1,13,early,39,12
n002,2,0,late,1,15
n002,2,1,late,4,15
n002,2,2,night,8,15
n002,2,3,night,11,15
n002,2,5,night,17,15
n002,2,7,early,21,15
n002,2,8,late,25,5
n002,2,10,late,31,5
n002,2,11,night,35,15
n002,2,12,night,38,15
n002,2,13,night,41,15
n003,2,0,night,2,15
n003,2,2,early,6,5
n003,2,3,early,9,15
n003,2,4,early,12,5
n003,2,5,late,16,15
n003,2,6,night,20,15
n003,2,7,night,23,15
n003,2,8,night,26,15
n003,2,9,night,29,15
n003,2,12,early,36,15
n003,2,13,early,39,5
n004,2,0,late,1,15
n004,2,2,early,6,15
n004,2,3,late,10,15
n004,2,4,late,13,5
n004,2,5,late,16,15
n004,2,6,late,19,15
n004,2,7,late,22,15
n004,2,8,late,25,15
n004,2,9,late,28,15
n004,2,10,night,32,15
n004,2,12,late,37,5
n004,2,13,late,40,15
n005,1,0,night,2,12
n005,1,1,night,5,12
n005,1,3,early,9,12
n005,1,4,early,12,12
n005,1,5,late,16,12
n005,1,6,night,20,12
n005,1,7,night,23,12
n005,1,8,night,26,12
n005,1,10,early,30,12
n005,1,11,early,33,12
n005,1,12,early,36,12
n005,1,13,early,39,12
n006,0,0,late,1,10
n006,0,1,late,4,10
n006,0,2,night,8,10
n006,0,4,early,12,10
n006,0,5,late,16,10
n006,0,6,late,19,10
n006,0,7,night,23,10
n006,0,9,early,27,10
n006,0,10,early,30,10
n006,0,11,late,34,10
n006,0,12,night,38,10
n006,0,13,night,41,10
n007,0,0,late,1,10
n007,0,2,early,6,10
n007,0,3,night,11,10
n007,0,5,late,16,10
n007,0,6,late,19,10
n007,0,7,late,22,10
n007,0,8,late,25,10
n007,0,9,late,28,10
n007,0,10,late,31,10
n007,0,12,early,36,10
n007,0,13,late,40,10
n008,0,0,late,1,10
n008,0,1,night,5,10
n008,0,2,night,8,10
n008,0,3,night,11,10
n008,0,4,night,14,10
