nurse_id,skill_level,day,shift,global_shift,max_load
n00,0,0,late,1,10
n00,0,1,late,4,10
n00,0,2,late,7,10
n00,0,3,late,10,10
n00,0,4,night,14,10
n00,0,5,night,17,10
n00,0,7,early,21,10
n00,0,8,early,24,10
n00,0,9,late,28,10
n00,0,10,late,31,10
n00,0,11,night,35,10
n00,0,12,night,38,10
n01,1,0,night,2,12
n01,1,2,early,6,12
n01,1,3,night,11,12
n01,1,4,night,14,12
n01,1,6,early,18,12
n01,1,7,early,21,12
n01,1,8,early,24,12
n01,1,9,late,28,12
n01,1,11,early,33,12
n01,1,12,early,36,12
n01,1,13,early,39,12
n02,1,0,late,1,12
n02,1,1,night,5,12
n02,1,3,early,9,12
n02,1,4,early,12,12
n02,1,5,early,15,12
n02,1,6,early,18,12
n02,1,7,night,23,12
n02,1,8,night,26,12
n02,1,10,early,30,12
n02,1,11,early,33,12
n02,1,12,night,38,12
n03,0,0,late,1,10
n03,0,1,late,4,10
n03,0,2,late,7,10
n03,0,3,night,11,10
n03,0,5,early,15,10
n03,0,6,late,19,10
n03,0,7,late,22,10
n03,0,8,night,26,10
n03,0,9,night,29,10
n03,0,10,night,32,10
n03,0,11,night,35,10
n03,0,13,early,39,10
n04,1,0,early,0,12
n04,1,1,early,3,12
n04,1,2,early,6,12
n04,1,3,late,10,12
n04,1,4,late,13,12
n04,1,5,night,17,12
n04,1,7,night,23,12
n04,1,9,early,27,12
n04,1,10,late,31,12
n04,1,11,late,34,12
n04,1,12,late,37,12
n04,1,13,night,41,12
n05,2,0,night,2,15
n05,2,2,late,7,15
n05,2,3,late,10,15
n05,2,4,late,13,15
n05,2,5,late,16,5
n05,2,6,late,19,15
n05,2,7,late,22,15
n05,2,9,early,27,15
n05,2,10,late,31,5
n05,2,11,late,34,15
n05,2,13,early,39,5
n06,2,0,early,0,15
n06,2,1,early,3,15
n06,2,2,night,8,15
n06,2,4,early,12,15
n06,2,5,early,15,15
n06,2,6,night,20,5
n06,2,8,early,24,15
n06,2,9,late,28,15
n06,2,10,night,32,5
n06,2,12,early,36,15
n06,2,13,late,40,15
n07,2,1,night,5,15
n07,2,2,night,8,15
n07,2,5,late,16,15
n07,2,6,night,20,15
n07,2,8,late,25,15
n07,2,9,night,29,15
n07,2,10,night,32,5
n07,2,13,night,41,15
n08,1,1,late,4,12
n08,1,3,early,9,12
n08,1,5,late,16,12
n08,1,7,early,21,12
n08,1,10,early,30,12
n08,1,12,late,37,12
n08,1,13,late,40,12
n09,2,8,late,25,15
